kode_kabupaten_kota,nama_kabupaten_kota,jumlah,jenis_akomodasi,tahun
3213,KABUPATEN SUBANG,104,HOMESTAY,2021
3213,KABUPATEN SUBANG,6,PERKEMAHAN,2021
3214,KABUPATEN PURWAKARTA,2,HOTEL,2014
3214,KABUPATEN PURWAKARTA,3,PERKEMAHAN,2014
3214,KABUPATEN PURWAKARTA,2,HOTEL,2015
3214,KABUPATEN PURWAKARTA,3,PERKEMAHAN,2015
3214,KABUPATEN PURWAKARTA,3,HOTEL,2016
3214,KABUPATEN PURWAKARTA,3,PERKEMAHAN,2016
3214,KABUPATEN PURWAKARTA,3,HOTEL,2017
3214,KABUPATEN PURWAKARTA,3,PERKEMAHAN,2017
3214,KABUPATEN PURWAKARTA,7,HOTEL,2018
3214,KABUPATEN PURWAKARTA,0,HOMESTAY,2018
3214,KABUPATEN PURWAKARTA,12,PERKEMAHAN,2018
3214,KABUPATEN PURWAKARTA,34,HOTEL,2019
3214,KABUPATEN PURWAKARTA,54,HOMESTAY,2019
3214,KABUPATEN PURWAKARTA,4,PERKEMAHAN,2019
3214,KABUPATEN PURWAKARTA,34,HOTEL,2020
3214,KABUPATEN PURWAKARTA,54,HOMESTAY,2020
3214,KABUPATEN PURWAKARTA,4,PERKEMAHAN,2020
3214,KABUPATEN PURWAKARTA,34,HOTEL,2021
3214,KABUPATEN PURWAKARTA,54,HOMESTAY,2021
3214,KABUPATEN PURWAKARTA,0,PERKEMAHAN,2021
3215,KABUPATEN KARAWANG,7,HOTEL,2014
3215,KABUPATEN KARAWANG,1,PERKEMAHAN,2014
3215,KABUPATEN KARAWANG,7,HOTEL,2015
3215,KABUPATEN KARAWANG,1,PERKEMAHAN,2015
3215,KABUPATEN KARAWANG,14,HOTEL,2016
3215,KABUPATEN KARAWANG,1,PERKEMAHAN,2016
3215,KABUPATEN KARAWANG,14,HOTEL,2017
3215,KABUPATEN KARAWANG,5,PERKEMAHAN,2017
3215,KABUPATEN KARAWANG,33,HOTEL,2018
3215,KABUPATEN KARAWANG,0,HOMESTAY,2018
